,chern_simons,cusp_volume,hyperbolic_adjoint_torsion_degree,hyperbolic_torsion_degree,injectivity_radius,longitudinal_translation,meridinal_translation_imag,meridinal_translation_real,short_geodesic_imag_part,short_geodesic_real_part,Symmetry_0,Symmetry_D3,Symmetry_D4,Symmetry_D6,Symmetry_D8,Symmetry_Z/2 + Z/2,volume,signature
70746,0.0905302166938781,12.226321765565215,0,10,0.5077560544013977,10.685555458068848,1.1441915035247805,-0.5191566348075867,-2.7606005668640137,1.0155121088027954,0.0,0.0,0.0,0.0,0.0,1.0,11.393224716186523,-2
240827,0.2324534952640533,13.800772713371543,0,14,0.4136445224285126,10.45315647125244,1.320249319076538,-0.1585221290588379,-3.01325798034668,0.8272890448570251,0.0,0.0,0.0,0.0,0.0,1.0,12.74278163909912,0
155659,-0.1440993398427963,14.761029945987048,0,14,0.4369279742240906,13.40519905090332,1.101142168045044,0.7688941955566406,2.2331058979034424,0.8738559484481812,0.0,0.0,0.0,0.0,0.0,0.0,15.236504554748535,2
239963,-0.1716680079698562,13.738018749414778,0,22,0.249480739235878,27.81949615478516,0.4938270151615143,-1.1887179613113403,-2.0427708625793457,0.498961478471756,0.0,0.0,0.0,0.0,0.0,0.0,17.279890060424805,-8
90504,0.2351877689361572,15.896358940308346,0,10,0.3893291652202606,15.330970764160156,1.0368788242340088,0.7228280901908875,-3.056138038635254,0.7786583304405212,0.0,0.0,0.0,0.0,0.0,0.0,16.749298095703125,4
98220,-0.0882304012775421,19.04700612541319,0,14,0.4762815237045288,15.144968032836914,1.257645845413208,0.2317451238632202,-2.8958511352539062,0.9525630474090576,0.0,0.0,0.0,0.0,0.0,0.0,19.017963409423828,0
24815,0.0157814752310514,16.27221361645502,0,10,0.3831150829792022,13.22047519683838,1.2308342456817627,0.7912254333496094,3.027747392654419,0.7662301659584045,0.0,0.0,0.0,0.0,0.0,0.0,14.665644645690918,2
124199,-0.0966338217258453,13.019473466191243,15,10,0.3192006349563598,13.118456840515137,0.9924546480178832,-1.0583900213241575,1.813076496124268,0.6384012699127197,1.0,0.0,0.0,0.0,0.0,0.0,13.414851188659668,-4
151681,0.0924658477306366,18.3371055363109,0,22,0.2410531640052795,14.06322193145752,1.303905010223389,0.8890563249588013,2.09415054321289,0.4821063280105591,1.0,0.0,0.0,0.0,0.0,0.0,16.7358455657959,2
188814,0.002360796323046,15.84267997049608,0,10,0.5101138949394226,13.688368797302246,1.157382607460022,-0.4724410772323608,2.837174654006958,1.0202277898788452,0.0,0.0,0.0,0.0,0.0,1.0,15.320037841796877,-2
